Sequence,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_59,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Parasutterella   ,uncultured organism
ASV_60,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,NA
ASV_61,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides fragilis
ASV_62,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes indistinctus
ASV_63,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Negativibacillus   ,NA
ASV_64,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae FCS020 group ,uncultured organism
ASV_65,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Dialister   ,Dialister sp.
ASV_66,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_67,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured organism
ASV_68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,gut metagenome
ASV_69,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides intestinalis
ASV_70,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Muribaculaceae  ,Muribaculaceae   ,uncultured bacterium
ASV_71,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides merdae
ASV_72,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,GCA-900066575   ,NA
ASV_73,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Dorea   ,NA
ASV_74,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,NA
ASV_75,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_76,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ruminantium group ,gut metagenome
ASV_77,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides intestinalis
ASV_78,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,Sutterellaceae bacterium
ASV_79,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,uncultured organism
ASV_80,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,Sutterellaceae bacterium
ASV_81,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_82,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,NA
ASV_83,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_84,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Bacteroides sp.
ASV_85,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,NA,NA
ASV_86,Bacteria,Firmicutes,Clostridia,Monoglobales  ,Monoglobaceae  ,Monoglobus   ,Monoglobus pectinilyticus
ASV_87,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_88,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Flavonifractor   ,uncultured bacterium
ASV_89,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,Escherichia-Shigella   ,Shigella flexneri
ASV_90,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Tyzzerella   ,Tyzzerella sp.
ASV_91,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_92,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,NA
ASV_93,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Subdoligranulum   ,metagenome 
ASV_94,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium xylanophilum group ,uncultured organism
ASV_95,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Oscillibacter   ,human gut
ASV_96,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Butyricicoccaceae  ,Butyricicoccus   ,NA
ASV_97,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides fragilis
ASV_98,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,human gut
ASV_99,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_100,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales  ,Coriobacteriaceae  ,Collinsella   ,Collinsella aerofaciens
ASV_101,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,Eubacterium siraeum
ASV_102,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Pseudoflavonifractor   ,uncultured bacterium
ASV_103,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Acidaminococcus   ,uncultured organism
ASV_104,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_105,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,uncultured bacterium
ASV_106,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,uncultured bacterium
ASV_107,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,human gut
ASV_108,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_110,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,Clostridium sp.
ASV_111,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured organism
ASV_112,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_113,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,NA
ASV_114,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae ND3007 group ,metagenome 
ASV_115,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,NA
ASV_116,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,NA
ASV_117,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,uncultured Thermoanaerobacterales
ASV_118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,gut metagenome
ASV_119,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Anaerostipes   ,metagenome 
ASV_120,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales  ,Akkermansiaceae  ,Akkermansia   ,uncultured bacterium
ASV_121,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Megasphaera   ,uncultured organism
ASV_122,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium fissicatena group ,uncultured bacterium
ASV_123,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured organism
ASV_124,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus gauvreauii group ,uncultured Clostridiales
ASV_125,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Selenomonadaceae  ,Megamonas   ,uncultured organism
ASV_126,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,uncultured bacterium
ASV_127,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,gut metagenome
ASV_128,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Subdoligranulum   ,uncultured organism
ASV_129,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_130,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,metagenome 
ASV_131,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_132,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales  ,Eggerthellaceae  ,Eggerthella   ,uncultured bacterium
ASV_133,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,Blautia caecimuris
ASV_134,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured organism
ASV_135,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,gut metagenome
ASV_136,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,Prevotella stercorea
ASV_137,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales  ,Eggerthellaceae  ,Eggerthella   ,uncultured bacterium
ASV_138,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,NK4A214 group  ,metagenome 
ASV_139,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Odoribacter   ,Odoribacter splanchnicus
ASV_140,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,uncultured organism
ASV_141,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,uncultured bacterium
ASV_142,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_143,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides coprocola
ASV_144,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Pasteurellaceae  ,Haemophilus   ,Haemophilus pittmaniae
ASV_145,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,NA
ASV_146,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales  ,Coriobacteriales Incertae Sedis,uncultured   ,uncultured organism
ASV_147,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,NA
ASV_148,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_149,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-008  ,uncultured organism
ASV_150,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,UBA1819   ,uncultured organism
ASV_151,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,Clostridium leptum
ASV_152,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_153,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Desulfovibrio   ,gut metagenome
ASV_154,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,Trichuris trichiura
ASV_155,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_156,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus faecis
ASV_157,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
ASV_158,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,metagenome 
ASV_159,Bacteria,Firmicutes,Clostridia,Monoglobales  ,Monoglobaceae  ,Monoglobus   ,uncultured organism
ASV_160,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured Veillonellaceae
ASV_161,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,gut metagenome
ASV_162,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,unidentified 
ASV_163,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured prokaryote
ASV_164,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_165,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eisenbergiella   ,Lachnospiraceae bacterium
ASV_166,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,uncultured bacterium
ASV_167,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium scindens
ASV_168,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_169,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-010  ,uncultured organism
ASV_170,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Pasteurellaceae  ,Haemophilus   ,uncultured bacterium
ASV_171,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,metagenome 
ASV_172,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,Carnobacterium sp.
ASV_173,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_174,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes obesi
ASV_175,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_176,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,Clostridium leptum
ASV_177,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_178,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae FCS020 group ,uncultured organism
ASV_179,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,unidentified 
ASV_180,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,NA
ASV_181,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,metagenome 
ASV_182,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,uncultured organism
ASV_183,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,metagenome 
ASV_184,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-010  ,uncultured organism
ASV_185,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides johnsonii
ASV_186,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_187,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes shahii
ASV_188,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_189,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_190,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured organism
ASV_191,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Subdoligranulum   ,uncultured organism
ASV_192,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales  ,Coriobacteriales Incertae Sedis,uncultured   ,uncultured organism
ASV_193,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,NA
ASV_194,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,NA
ASV_195,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_196,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus gnavus group ,uncultured bacterium
ASV_197,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides intestinalis
ASV_198,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides coprocola
ASV_199,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Ruminococcus   ,Ruminococcus bicirculans
ASV_200,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-001  ,metagenome 
ASV_201,Bacteria,Firmicutes,uncultured,uncultured  ,uncultured  ,uncultured   ,uncultured Peptococcaceae
ASV_202,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_203,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,NA
ASV_204,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_205,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,uncultured Thermoanaerobacterales
ASV_206,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_207,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,uncultured bacterium
ASV_208,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_209,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
